Time,Vm,dVm/dt,Cai,INa,INaL,ICaL,IKs,IKr,IK1,Ito,Tension
1058.001000,31.055984,-0.303723,0.000226,-0.000000,-0.350648,-0.750704,0.035821,0.881671,0.000215,0.045403,0.609259
1059.000000,30.751075,-0.306681,0.000227,-0.000000,-0.351459,-0.748004,0.036505,0.889192,0.000221,0.043323,0.646139
1059.001000,30.750768,-0.306684,0.000227,-0.000000,-0.351459,-0.748002,0.036506,0.889200,0.000221,0.043321,0.646176
1060.000000,30.442968,-0.309510,0.000227,-0.000000,-0.352272,-0.745443,0.037183,0.896664,0.000228,0.041338,0.683936
1060.001000,30.442658,-0.309512,0.000227,-0.000000,-0.352273,-0.745440,0.037184,0.896672,0.000228,0.041336,0.683975
1061.000000,30.132096,-0.312211,0.000227,-0.000000,-0.353087,-0.743022,0.037854,0.904083,0.000235,0.039446,0.722547
1061.001000,30.131783,-0.312213,0.000227,-0.000000,-0.353087,-0.743020,0.037854,0.904091,0.000235,0.039444,0.722586
1062.000000,29.818586,-0.314787,0.000228,-0.000000,-0.353901,-0.740742,0.038517,0.911451,0.000242,0.037641,0.761902
1062.001000,29.818271,-0.314789,0.000228,-0.000000,-0.353901,-0.740740,0.038517,0.911459,0.000242,0.037639,0.761941
1063.000000,29.502561,-0.317241,0.000228,-0.000000,-0.354714,-0.738603,0.039172,0.918770,0.000250,0.035919,0.801932
1063.001000,29.502243,-0.317243,0.000228,-0.000000,-0.354714,-0.738600,0.039173,0.918778,0.000250,0.035918,0.801972
1064.000000,29.184141,-0.319576,0.000228,-0.000000,-0.355524,-0.736602,0.039821,0.926043,0.000258,0.034278,0.842570
1064.001000,29.183822,-0.319578,0.000228,-0.000000,-0.355525,-0.736600,0.039821,0.926050,0.000258,0.034276,0.842611
1065.000000,28.863445,-0.321795,0.000229,-0.000000,-0.356332,-0.734741,0.040461,0.933271,0.000266,0.032712,0.883749
1065.001000,28.863123,-0.321797,0.000229,-0.000000,-0.356333,-0.734740,0.040462,0.933278,0.000266,0.032710,0.883791
1066.000000,28.540587,-0.323900,0.000229,-0.000000,-0.357136,-0.733018,0.041095,0.940457,0.000274,0.031218,0.925406
1066.001000,28.540263,-0.323902,0.000229,-0.000000,-0.357137,-0.733017,0.041095,0.940464,0.000274,0.031216,0.925447
1067.000000,28.215679,-0.325895,0.000229,-0.000000,-0.357936,-0.731433,0.041720,0.947601,0.000283,0.029793,0.967475
1067.001000,28.215353,-0.325897,0.000229,-0.000000,-0.357937,-0.731431,0.041721,0.947608,0.000283,0.029791,0.967517
1068.000000,27.888831,-0.327781,0.000229,-0.000000,-0.358730,-0.729984,0.042338,0.954705,0.000292,0.028433,1.009896
